what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1618045398644
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1618045402002
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1618045402002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1618045402022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045404966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045458271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045458658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045459819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045461130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618045461455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045463025
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1618045463044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045463136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618045464960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045465907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045466209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045468319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045469270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618045469580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045471401
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1618045471420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045471667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618045473410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045474444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045474855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045476783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045477584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618045477892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045479329
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1618045479347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045479538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618045482164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045484017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045484317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045487226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1618045488034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1618045488352
